Geo_FIPS,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_BTTR,Geo_BTBG,Geo_AREALAND,Geo_AREAWATR,ACS19_5yr_B25058001,ACS19_5yr_B25058001s,ACS19_5yr_B25105001,ACS19_5yr_B25105001s,ACS19_5yr_B25106001,ACS19_5yr_B25106002,ACS19_5yr_B25106003,ACS19_5yr_B25106004,ACS19_5yr_B25106005,ACS19_5yr_B25106006,ACS19_5yr_B25106007,ACS19_5yr_B25106008,ACS19_5yr_B25106009,ACS19_5yr_B25106010,ACS19_5yr_B25106011,ACS19_5yr_B25106012,ACS19_5yr_B25106013,ACS19_5yr_B25106014,ACS19_5yr_B25106015,ACS19_5yr_B25106016,ACS19_5yr_B25106017,ACS19_5yr_B25106018,ACS19_5yr_B25106019,ACS19_5yr_B25106020,ACS19_5yr_B25106021,ACS19_5yr_B25106022,ACS19_5yr_B25106023,ACS19_5yr_B25106024,ACS19_5yr_B25106025,ACS19_5yr_B25106026,ACS19_5yr_B25106027,ACS19_5yr_B25106028,ACS19_5yr_B25106029,ACS19_5yr_B25106030,ACS19_5yr_B25106031,ACS19_5yr_B25106032,ACS19_5yr_B25106033,ACS19_5yr_B25106034,ACS19_5yr_B25106035,ACS19_5yr_B25106036,ACS19_5yr_B25106037,ACS19_5yr_B25106038,ACS19_5yr_B25106039,ACS19_5yr_B25106040,ACS19_5yr_B25106041,ACS19_5yr_B25106042,ACS19_5yr_B25106043,ACS19_5yr_B25106044,ACS19_5yr_B25106045,ACS19_5yr_B25106046,ACS19_5yr_B25106001s,ACS19_5yr_B25106002s,ACS19_5yr_B25106003s,ACS19_5yr_B25106004s,ACS19_5yr_B25106005s,ACS19_5yr_B25106006s,ACS19_5yr_B25106007s,ACS19_5yr_B25106008s,ACS19_5yr_B25106009s,ACS19_5yr_B25106010s,ACS19_5yr_B25106011s,ACS19_5yr_B25106012s,ACS19_5yr_B25106013s,ACS19_5yr_B25106014s,ACS19_5yr_B25106015s,ACS19_5yr_B25106016s,ACS19_5yr_B25106017s,ACS19_5yr_B25106018s,ACS19_5yr_B25106019s,ACS19_5yr_B25106020s,ACS19_5yr_B25106021s,ACS19_5yr_B25106022s,ACS19_5yr_B25106023s,ACS19_5yr_B25106024s,ACS19_5yr_B25106025s,ACS19_5yr_B25106026s,ACS19_5yr_B25106027s,ACS19_5yr_B25106028s,ACS19_5yr_B25106029s,ACS19_5yr_B25106030s,ACS19_5yr_B25106031s,ACS19_5yr_B25106032s,ACS19_5yr_B25106033s,ACS19_5yr_B25106034s,ACS19_5yr_B25106035s,ACS19_5yr_B25106036s,ACS19_5yr_B25106037s,ACS19_5yr_B25106038s,ACS19_5yr_B25106039s,ACS19_5yr_B25106040s,ACS19_5yr_B25106041s,ACS19_5yr_B25106042s,ACS19_5yr_B25106043s,ACS19_5yr_B25106044s,ACS19_5yr_B25106045s,ACS19_5yr_B25106046s
6037101110,Census Tract 1011.10,"Census Tract 1011.10, Los Angeles County, California",ca,140,0,ACSSF,3871,,,,,6,37,,,,101110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037101110,,,1142401,0,1468,72.12121212,1853,65.45454545,1575,843,102,0,0,102,70,11,9,50,108,48,0,60,112,10,21,81,451,175,129,147,0,732,147,0,0,147,103,0,0,103,104,0,0,104,94,0,41,53,251,101,118,32,18,15,54.54546,70.90909,44.84848,7.272727,7.272727,44.84848,23.0303,10.30303,8.484848,20.60606,32.72727,23.63636,7.272727,22.42424,37.57576,8.484848,14.54545,32.12121,54.54546,41.81818,33.93939,41.21212,7.272727,76.9697,50.30303,7.272727,7.272727,50.30303,49.69697,7.272727,7.272727,49.69697,35.75758,7.272727,7.272727,35.75758,31.51515,7.272727,24.84848,21.21212,62.42424,43.63636,40.60606,17.57576,15.75758,13.33333
6037101122,Census Tract 1011.22,"Census Tract 1011.22, Los Angeles County, California",ca,140,0,ACSSF,3872,,,,,6,37,,,,101122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037101122,,,2644045,0,2067,501.2121212,2273,140,1312,1072,43,0,0,43,81,25,40,16,25,10,0,15,143,25,0,118,758,375,178,205,22,240,22,0,0,22,27,0,0,27,34,0,0,34,39,0,0,39,100,0,38,62,0,18,38.18182,65.45454,22.42424,7.272727,7.272727,22.42424,30.90909,15.75758,29.09091,10.90909,13.93939,9.69697,7.272727,10.30303,44.24242,13.93939,7.272727,40,69.69697,67.87878,39.39394,55.75758,16.36364,58.18182,20,7.272727,7.272727,20,24.84848,7.272727,7.272727,24.84848,27.87879,7.272727,7.272727,27.87879,30.30303,7.272727,7.272727,30.30303,42.42424,7.272727,28.48485,32.72727,7.272727,15.15152
6037101210,Census Tract 1012.10,"Census Tract 1012.10, Los Angeles County, California",ca,140,0,ACSSF,3873,,,,,6,37,,,,101210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037101210,,,650690,0,1276,52.12121212,1494,57.57575758,2297,401,43,14,0,29,35,0,0,35,22,0,0,22,65,23,0,42,236,74,95,67,0,1896,562,0,17,545,266,0,0,266,321,15,83,223,220,30,30,160,379,258,84,37,79,69,59.39394,88.48485,25.45455,13.93939,10.30303,21.81818,23.63636,10.30303,10.30303,23.63636,17.57576,10.30303,10.30303,17.57576,29.69697,16.9697,10.30303,24.84848,75.15151,40,43.0303,39.39394,10.30303,101.8182,101.2121,10.30303,16.36364,99.39394,72.72727,10.30303,10.30303,72.72727,81.21212,14.54545,43.63636,68.48485,64.84849,27.87879,20.60606,50.30303,90.30303,75.75758,41.81818,35.75758,46.06061,30.30303
6037101220,Census Tract 1012.20,"Census Tract 1012.20, Los Angeles County, California",ca,140,0,ACSSF,3874,,,,,6,37,,,,101220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037101220,,,698886,0,1086,50.90909091,1361,71.51515152,1357,535,28,0,0,28,62,9,0,53,97,9,15,73,57,45,0,12,281,159,82,40,10,822,272,0,10,262,124,10,0,114,176,7,8,161,90,24,47,19,133,64,62,7,27,0,34.54546,59.39394,20,7.272727,7.272727,20,23.63636,8.484848,7.272727,21.81818,32.12121,9.090909,10.30303,27.87879,20,16.9697,7.272727,10.30303,50.90909,39.39394,29.09091,16.9697,9.090909,53.33333,52.12121,7.272727,9.69697,53.33333,30.90909,9.69697,7.272727,29.69697,44.24242,7.272727,7.272727,43.0303,26.06061,12.72727,22.42424,12.72727,36.9697,26.06061,24.84848,7.878788,18.18182,7.272727
6037101300,Census Tract 1013,"Census Tract 1013, Los Angeles County, California",ca,140,0,ACSSF,3875,,,,,6,37,,,,101300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037101300,,,2581214,0,2209,227.8787879,2094,174.5454545,1445,1255,77,9,0,68,101,42,8,51,99,24,17,58,225,106,32,87,692,434,87,171,61,190,17,0,8,9,33,0,0,33,25,0,0,25,8,0,0,8,99,56,27,16,0,8,56.36364,63.63636,38.18182,7.878788,7.272727,37.57576,26.66667,18.18182,7.272727,16.36364,30.90909,13.93939,11.51515,26.66667,50.90909,37.57576,16.36364,29.69697,64.24242,66.06061,24.24242,40,27.87879,47.27273,11.51515,7.272727,7.878788,8.484848,25.45455,7.272727,7.272727,25.45455,23.63636,7.272727,7.272727,23.63636,7.272727,7.272727,7.272727,7.272727,33.33333,30.30303,14.54545,10.30303,7.272727,7.878788
6037101400,Census Tract 1014,"Census Tract 1014, Los Angeles County, California",ca,140,0,ACSSF,3876,,,,,6,37,,,,101400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037101400,,,6310056,0,1206,230.3030303,1664,231.5151515,1355,939,86,0,0,86,143,20,63,60,65,9,13,43,108,37,10,61,537,218,172,147,0,416,117,0,0,117,74,0,0,74,13,0,6,7,55,0,0,55,97,38,59,0,0,60,78.18182,87.27273,32.12121,7.272727,7.272727,32.12121,41.81818,13.33333,29.09091,31.51515,29.09091,9.090909,9.090909,25.45455,27.27273,17.57576,9.090909,20.60606,78.78788,52.12121,42.42424,40,7.272727,86.66666,44.24242,7.272727,7.272727,44.24242,32.12121,7.272727,7.272727,32.12121,9.69697,7.272727,5.454545,7.878788,36.36364,7.272727,7.272727,36.36364,42.42424,20,37.57576,7.272727,7.272727,36.9697
6037102103,Census Tract 1021.03,"Census Tract 1021.03, Los Angeles County, California",ca,140,0,ACSSF,3877,,,,,6,37,,,,102103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037102103,,,1186484,0,2153,150.3030303,2369,188.4848485,692,461,6,0,0,6,48,0,10,38,50,17,5,28,108,11,2,95,242,105,69,68,7,231,28,0,0,28,19,0,0,19,24,0,4,20,12,0,12,0,121,55,16,50,0,27,21.21212,45.45454,4.848485,7.272727,7.272727,4.848485,20,7.272727,9.69697,16.9697,26.66667,9.69697,4.848485,24.24242,30.90909,7.272727,3.636364,29.09091,41.81818,29.09091,23.63636,23.63636,6.666667,39.39394,16.9697,7.272727,7.272727,16.9697,15.75758,7.272727,7.272727,15.75758,12.72727,7.272727,4.848485,12.12121,9.69697,7.272727,9.69697,7.272727,29.09091,20.60606,11.51515,21.21212,7.272727,16.9697
6037102104,Census Tract 1021.04,"Census Tract 1021.04, Los Angeles County, California",ca,140,0,ACSSF,3878,,,,,6,37,,,,102104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037102104,,,1658544,0,2286,230.9090909,2177,218.7878788,1230,927,112,0,0,112,58,0,12,46,108,14,0,94,175,103,21,51,474,236,123,115,0,303,14,0,0,14,0,0,0,0,67,0,0,67,0,0,0,0,157,22,84,51,0,65,55.15152,69.09091,40.60606,7.272727,7.272727,40.60606,22.42424,7.272727,13.33333,20.60606,43.0303,13.33333,7.272727,40.60606,41.21212,30.90909,13.93939,27.27273,78.18182,50.30303,35.75758,52.72727,7.272727,63.63636,14.54545,7.272727,7.272727,14.54545,7.272727,7.272727,7.272727,7.272727,40,7.272727,7.272727,40,7.272727,7.272727,7.272727,7.272727,52.72727,12.72727,44.84848,27.27273,7.272727,29.09091
6037102105,Census Tract 1021.05,"Census Tract 1021.05, Los Angeles County, California",ca,140,0,ACSSF,3879,,,,,6,37,,,,102105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037102105,,,492761,0,1318,100,1872,167.2727273,559,302,5,0,5,0,22,0,5,17,27,5,0,22,57,12,6,39,186,54,46,86,5,257,39,0,0,39,71,0,0,71,41,4,0,37,39,0,19,20,62,23,34,5,0,5,21.21212,37.57576,4.848485,7.272727,4.848485,7.272727,12.72727,7.272727,4.848485,10.90909,14.54545,4.848485,7.272727,13.93939,26.06061,7.878788,5.454545,23.63636,37.57576,16.9697,14.54545,34.54546,5.454545,35.75758,21.81818,7.272727,7.272727,21.81818,31.51515,7.272727,7.272727,31.51515,15.75758,4.242424,7.272727,15.75758,20,7.272727,15.15152,14.54545,21.21212,12.12121,19.39394,4.242424,7.272727,4.848485
6037102107,Census Tract 1021.07,"Census Tract 1021.07, Los Angeles County, California",ca,140,0,ACSSF,3880,,,,,6,37,,,,102107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037102107,,,12908558,13753,1084,96.36363636,1817,294.5454545,1345,957,62,0,0,62,9,0,0,9,67,32,18,17,94,19,28,47,725,373,221,131,0,388,9,0,0,9,126,0,0,126,16,0,8,8,83,0,40,43,119,106,0,13,0,35,28.48485,69.09091,30.90909,7.272727,7.272727,30.90909,8.484848,7.272727,7.272727,8.484848,35.15152,30.30303,12.12121,13.33333,30.30303,13.33333,13.93939,22.42424,72.72727,61.21212,55.75758,40,7.272727,61.81818,7.878788,7.272727,7.272727,7.878788,35.15152,7.272727,7.272727,35.15152,11.51515,7.272727,7.272727,9.090909,40.60606,7.272727,32.72727,27.87879,50.90909,48.48485,7.272727,14.54545,7.272727,27.27273
