,Geo_FIPS,Census Tract #,Median Contract Rent,Median Monthly Housing Costs,Total Renter Housing Units,"less than $20,000","20,000 to 34,999","35,000 To 49,999","50,000 To 74,999","less than 20,000 proportion","20,000 to 34,999 proportion","35,000 To 49,999 proportion","50,000 To 74,999 proportion",STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,geometry,Housing Burden Index
0,06037101110,Census Tract 1011.10,1468.0,1853.0,732,147,103,104,53,0.20081967213114754,0.1407103825136612,0.14207650273224043,0.07240437158469945,06,037,101110,1400000US06037101110,06037101110,1011.10,CT,1142401,0,"POLYGON ((-118.300753 34.259609, -118.300758 34.263214, -118.29791900000001 34.263222, -118.291309 34.262854, -118.288467 34.26282, -118.286486 34.262797, -118.284913 34.262463, -118.28498 34.255888999999996, -118.285924 34.255894999999995, -118.287333 34.255904, -118.291044 34.255927, -118.299451 34.255978, -118.302291 34.258697, -118.300753 34.259609))",32.5
1,06037101122,Census Tract 1011.22,2067.0,2273.0,240,22,27,34,39,0.09166666666666666,0.1125,0.14166666666666666,0.1625,06,037,101122,1400000US06037101122,06037101122,1011.22,CT,2644045,0,"POLYGON ((-118.303195 34.273334, -118.299696 34.275262, -118.29974899999999 34.276706, -118.29697 34.278807, -118.28989899999999 34.278946, -118.29022499999999 34.271, -118.285616 34.270541, -118.285271 34.266434, -118.281666 34.266011, -118.278953 34.266541, -118.279483 34.26363, -118.277285 34.26363, -118.277422 34.259903, -118.278125 34.257602, -118.278167 34.255767999999996, -118.28498 34.255888999999996, -118.284913 34.262463, -118.286486 34.262797, -118.288467 34.26282, -118.291309 34.262854, -118.29791900000001 34.263222, -118.297917 34.266849, -118.302753 34.272000999999996, -118.303195 34.273334))",14.8
2,06037101210,Census Tract 1012.10,1276.0,1494.0,1896,545,266,223,160,0.28744725738396626,0.14029535864978904,0.11761603375527427,0.08438818565400844,06,037,101210,1400000US06037101210,06037101210,1012.10,CT,650690,0,"POLYGON ((-118.299451 34.255978, -118.291044 34.255927, -118.287333 34.255904, -118.285924 34.255894999999995, -118.28592499999999 34.252274, -118.285924 34.248018, -118.28759099999999 34.248173, -118.28862 34.248613999999996, -118.290104 34.249364, -118.291215 34.250225, -118.294696 34.252336, -118.29791900000001 34.254511, -118.299451 34.255978))",31.5
3,06037101220,Census Tract 1012.20,1086.0,1361.0,822,262,114,161,19,0.31873479318734793,0.1386861313868613,0.19586374695863748,0.023114355231143552,06,037,101220,1400000US06037101220,06037101220,1012.20,CT,698886,0,"POLYGON ((-118.285924 34.255894999999995, -118.28498 34.255888999999996, -118.278167 34.255767999999996, -118.278224 34.253291, -118.276916 34.253084, -118.276915 34.251582, -118.278224 34.251657, -118.27761100000001 34.249589, -118.276103 34.246483999999995, -118.27975 34.247662999999996, -118.285924 34.248018, -118.28592499999999 34.252274, -118.285924 34.255894999999995))",33.9
4,06037101300,Census Tract 1013,2209.0,2094.0,190,9,33,25,8,0.04736842105263158,0.1736842105263158,0.13157894736842105,0.042105263157894736,06,037,101300,1400000US06037101300,06037101300,1013,CT,2581214,0,"POLYGON ((-118.278224 34.251657, -118.276915 34.251582, -118.276916 34.253084, -118.278224 34.253291, -118.278167 34.255767999999996, -118.278125 34.257602, -118.277422 34.259903, -118.26529 34.259954, -118.265238 34.254616999999996, -118.265264 34.252379999999995, -118.265295 34.250402, -118.266672 34.250779, -118.265999 34.243891999999995, -118.266024 34.240356, -118.266733 34.240795999999996, -118.266781 34.234235999999996, -118.266739 34.233951, -118.266708 34.233744, -118.26674 34.233512, -118.266789 34.232108, -118.266803 34.231235, -118.27247299999999 34.232527, -118.270685 34.232994999999995, -118.27047400000001 34.236937, -118.273615 34.241304, -118.273907 34.242917999999996, -118.276295 34.245152, -118.276103 34.246483999999995, -118.27761100000001 34.249589, -118.278224 34.251657))",18.6
5,06037101400,Census Tract 1014,1206.0,1664.0,416,117,74,7,55,0.28125,0.1778846153846154,0.016826923076923076,0.13221153846153846,06,037,101400,1400000US06037101400,06037101400,1014,CT,6310056,0,"POLYGON ((-118.322382 34.249631, -118.316711 34.248602, -118.312384 34.248867, -118.307074 34.248124, -118.306485 34.248318999999995, -118.306347 34.251278, -118.30796 34.252407999999996, -118.307037 34.2524, -118.30577199999999 34.252082, -118.302632 34.252387999999996, -118.300253 34.252869, -118.300254 34.255983, -118.299451 34.255978, -118.29791900000001 34.254511, -118.294696 34.252336, -118.291215 34.250225, -118.290104 34.249364, -118.28862 34.248613999999996, -118.28759099999999 34.248173, -118.285924 34.248018, -118.27975 34.247662999999996, -118.276103 34.246483999999995, -118.276295 34.245152, -118.273907 34.242917999999996, -118.273615 34.241304, -118.27047400000001 34.236937, -118.270685 34.232994999999995, -118.27247299999999 34.232527, -118.280036 34.23421, -118.28605999999999 34.234235999999996, -118.290771 34.234821, -118.298148 34.23462, -118.300392 34.235064, -118.302303 34.235841, -118.308004 34.239841, -118.31116 34.241378999999995, -118.316559 34.242723999999995, -118.319387 34.244417999999996, -118.321123 34.246415, -118.322382 34.249631))",17.8
6,06037102103,Census Tract 1021.03,2153.0,2369.0,231,28,19,20,0,0.12121212121212122,0.08225108225108226,0.08658008658008658,0.0,06,037,102103,1400000US06037102103,06037102103,1021.03,CT,1186484,0,"POLYGON ((-118.365326 34.228702999999996, -118.350663 34.228502999999996, -118.343352 34.225874999999995, -118.345427 34.223465, -118.350938 34.221154999999996, -118.354278 34.221249, -118.355623 34.220033, -118.356402 34.219606999999996, -118.358115 34.220931, -118.359691 34.221554, -118.359213 34.222386, -118.361797 34.224965, -118.365326 34.228702999999996))",18.1
7,06037102104,Census Tract 1021.04,2286.0,2177.0,303,14,0,67,0,0.0462046204620462,0.0,0.22112211221122113,0.0,06,037,102104,1400000US06037102104,06037102104,1021.04,CT,1658544,0,"POLYGON ((-118.355623 34.220033, -118.354278 34.221249, -118.350938 34.221154999999996, -118.345427 34.223465, -118.343352 34.225874999999995, -118.338059 34.222274999999996, -118.343913 34.222301, -118.343891 34.218554999999995, -118.344121 34.216998, -118.344195 34.214103, -118.34115299999999 34.213766, -118.338239 34.216754, -118.335599 34.217673999999995, -118.334546 34.215618, -118.337706 34.212589, -118.33774 34.211270999999996, -118.339567 34.211301, -118.33981299999999 34.210941999999996, -118.33993 34.206503, -118.341347 34.206527, -118.343007 34.206557, -118.345523 34.20973, -118.348501 34.212309, -118.351842 34.215147, -118.354397 34.217346, -118.355051 34.218067999999995, -118.356402 34.219606999999996, -118.355623 34.220033))",19.7
8,06037102105,Census Tract 1021.05,1318.0,1872.0,257,39,71,37,20,0.1517509727626459,0.27626459143968873,0.14396887159533073,0.07782101167315175,06,037,102105,1400000US06037102105,06037102105,1021.05,CT,492761,0,"POLYGON ((-118.35306 34.213823999999995, -118.351842 34.215147, -118.348501 34.212309, -118.345523 34.20973, -118.343007 34.206557, -118.34971 34.206662, -118.350369 34.206672, -118.353092 34.208528, -118.35306 34.213823999999995))",41.9
9,06037102107,Census Tract 1021.07,1084.0,1817.0,388,9,126,8,43,0.023195876288659795,0.3247422680412371,0.020618556701030927,0.11082474226804123,06,037,102107,1400000US06037102107,06037102107,1021.07,CT,12908558,13753,"POLYGON ((-118.36777000000001 34.240369, -118.366452 34.243021, -118.36092 34.246764, -118.359445 34.247116, -118.357469 34.247053, -118.351326 34.247332, -118.347838 34.248478999999996, -118.34100699999999 34.259285, -118.339444 34.260239999999996, -118.338209 34.260315999999996, -118.33319 34.259487, -118.329998 34.259676999999996, -118.323808 34.253081, -118.322382 34.249631, -118.321123 34.246415, -118.319387 34.244417999999996, -118.316559 34.242723999999995, -118.31116 34.241378999999995, -118.308004 34.239841, -118.302303 34.235841, -118.300392 34.235064, -118.298148 34.23462, -118.290771 34.234821, -118.292037 34.233878, -118.297249 34.232603999999995, -118.299165 34.232613, -118.304507 34.233703999999996, -118.30938499999999 34.233492999999996, -118.31803099999999 34.230466, -118.318046 34.232079, -118.32658599999999 34.232206, -118.33547 34.232026999999995, -118.335235 34.224491, -118.338492 34.223343, -118.338059 34.222274999999996, -118.343352 34.225874999999995, -118.350663 34.228502999999996, -118.365326 34.228702999999996, -118.366475 34.22992, -118.36712299999999 34.234213, -118.367582 34.237255, -118.36777000000001 34.240369))",22.8
